Road,Home,Road_score,Home_score,Home_w,margin,Date
Schreiner,Abilene Christian,59,73,1,-14,2016-11-11
McPherson,Air Force,71,88,1,-17,2016-11-11
Coastal Carolina,Alabama,53,70,1,-17,2016-11-11
Arkansas-Pine Bluff,Alabama-Birmingham,66,86,1,-20,2016-11-11
Portland State,Arizona State,70,88,1,-18,2016-11-11
Purdue-Fort Wayne,Arkansas,83,92,1,-9,2016-11-11
North Florida,Auburn,66,83,1,-17,2016-11-11
Oral Roberts,Baylor,61,76,1,-15,2016-11-11
Cornell,Binghamton,62,68,1,-6,2016-11-11
Nicholls State,Boston College,79,73,0,6,2016-11-11
Illinois-Springfield,Bradley,55,70,1,-15,2016-11-11
Manhattan,Bucknell,64,76,1,-12,2016-11-11
Cal Tech,Cal State Fullerton,28,77,1,-49,2016-11-11
Pomona-Pitzer,Cal State Northridge,72,96,1,-24,2016-11-11
South Dakota State,California,53,82,1,-29,2016-11-11
Tennessee State,UC-Davis,78,64,0,14,2016-11-11
Utah State,UC-Irvine,72,56,0,16,2016-11-11
Hartford,Central Connecticut,60,75,1,-15,2016-11-11
Indiana-Kokomo,Central Michigan,53,117,1,-64,2016-11-11
Newberry,Charlotte,88,101,1,-13,2016-11-11
Brown,Cincinnati,55,84,1,-29,2016-11-11
Georgia,Clemson,64,74,1,-10,2016-11-11
Citadel,College of Charleston,68,81,1,-13,2016-11-11
Sacramento State,Colorado,53,90,1,-37,2016-11-11
Wagner,UConn,67,58,0,9,2016-11-11
UMKC,Creighton,82,89,1,-7,2016-11-11
Austin Peay,Dayton,68,96,1,-28,2016-11-11
Goldey-Beacom,Delaware,56,64,1,-8,2016-11-11
Clarks Summit,Delaware State,56,103,1,-47,2016-11-11
Adrian,Detroit,69,99,1,-30,2016-11-11
South Dakota,Drake,79,74,0,5,2016-11-11
Marist,Duke,49,94,1,-45,2016-11-11
Loyola (MD),Duquesne,60,65,1,-5,2016-11-11
Grambling,East Carolina,57,72,1,-15,2016-11-11
Fordham,ETSU,59,96,1,-37,2016-11-11
St. Francis (IL),Eastern Illinois,41,83,1,-42,2016-11-11
IUPUI,Eastern Kentucky,87,97,1,-10,2016-11-11
Linfield,Eastern Washington,47,70,1,-23,2016-11-11
Peace,Elon,68,101,1,-33,2016-11-11
Sacred Heart,Fairfield,63,85,1,-22,2016-11-11
Florida Gulf Coast,Florida,59,80,1,-21,2016-11-11
Texas State,Florida Atlantic,61,57,0,4,2016-11-11
Florida Memorial,Florida International,57,76,1,-19,2016-11-11
UTSA,Fresno State,66,69,1,-3,2016-11-11
Maryland-Eastern Shore,George Washington,71,75,1,-4,2016-11-11
Thomas University,Georgia State,69,111,1,-42,2016-11-11
Tennessee Tech,Georgia Tech,55,70,1,-15,2016-11-11
Utah Valley,Gonzaga,69,92,1,-23,2016-11-11
Rider,Hampton,67,56,0,11,2016-11-11
SIU-Edwardsville,Hawaii,69,68,0,1,2016-11-11
Coppin State,Hofstra,72,74,1,-2,2016-11-11
Morgan State,Houston,52,93,1,-41,2016-11-11
Southeast Missouri State,Illinois,62,81,1,-19,2016-11-11
Kennesaw State,Iowa,74,91,1,-17,2016-11-11
Savannah State,Iowa State,71,113,1,-42,2016-11-11
Xavier (LA),Jackson State,54,66,1,-12,2016-11-11
Indiana,Kansas,103,99,0,4,2016-11-11
Western Illinois,Kansas State,55,82,1,-27,2016-11-11
Stephen F. Austin,Kentucky,64,87,1,-23,2016-11-11
Howard Payne,Lamar,47,90,1,-43,2016-11-11
Cairn,Liberty,53,81,1,-28,2016-11-11
Sewanee,Lipscomb,53,96,1,-43,2016-11-11
Cal State Los Angeles,Long Beach State,59,95,1,-36,2016-11-11
John Jay,LIU-Brooklyn,40,78,1,-38,2016-11-11
Centenary (LA),Louisiana-Monroe,63,96,1,-33,2016-11-11
Evansville,Louisville,47,78,1,-31,2016-11-11
Alcorn State,Loyola (IL),44,69,1,-25,2016-11-11
Vanguard,Loyola Marymount,51,99,1,-48,2016-11-11
Vanderbilt,Marquette,71,95,1,-24,2016-11-11
American,Maryland,56,62,1,-6,2016-11-11
Hood,UMBC,61,92,1,-31,2016-11-11
UMass-Lowell,UMass,76,90,1,-14,2016-11-11
Brewton-Parker,Mercer,53,87,1,-34,2016-11-11
