Road,Home,Road_score,Home_score,Home_w,margin,Date
Western Carolina,Miami (FL),43,92,1,-49,2016-11-11
Muskingum,Miami (OH),57,84,1,-27,2016-11-11
Howard,Michigan,58,76,1,-18,2016-11-11
Arizona,Michigan State,65,63,0,2,2016-11-11
Milligan,Middle Tennessee,64,102,1,-38,2016-11-11
Milwaukee Engineering,Milwaukee,58,88,1,-30,2016-11-11
Louisiana,Minnesota,74,86,1,-12,2016-11-11
UT-Martin,Ole Miss,83,86,1,-3,2016-11-11
Norfolk State,Mississippi State,74,78,1,-4,2016-11-11
Alabama A&M,Missouri State,62,96,1,-34,2016-11-11
Drexel,Monmouth,65,78,1,-13,2016-11-11
Kentucky Christian,Morehead State,41,106,1,-65,2016-11-11
Illinois State,Murray State,70,73,1,-3,2016-11-11
Ohio State,Navy,78,68,0,10,2016-11-11
South Alabama,UNLV,76,68,0,8,2016-11-11
Lesley,New Hampshire,60,85,1,-25,2016-11-11
Idaho State,New Mexico,70,81,1,-11,2016-11-11
Arizona Christian,New Mexico State,52,100,1,-48,2016-11-11
LaGrange,New Orleans,67,103,1,-36,2016-11-11
Buffalo,Niagara,76,66,0,10,2016-11-11
Sarah Lawrence,NJIT,38,100,1,-62,2016-11-11
Greensboro,North Carolina A&T,50,67,1,-17,2016-11-11
Virginia,UNC Greensboro,76,51,0,25,2016-11-11
Georgia Southern,NC State,79,81,1,-2,2016-11-11
Claflin,UNC Wilmington,64,110,1,-46,2016-11-11
Crown College,North Dakota,48,98,1,-50,2016-11-11
Arkansas State,North Dakota State,66,76,1,-10,2016-11-11
Sul Ross State,North Texas,77,85,1,-8,2016-11-11
Boston University,Northeastern,77,87,1,-10,2016-11-11
Indiana State,Northern Illinois,78,80,1,-2,2016-11-11
Earlham,Northern Kentucky,56,96,1,-40,2016-11-11
Mississippi Valley State,Northwestern,63,94,1,-31,2016-11-11
Bowling Green State,Oakland,70,78,1,-8,2016-11-11
Campbell,Oklahoma State,65,102,1,-37,2016-11-11
James Madison,Old Dominion,55,62,1,-7,2016-11-11
Army,Oregon,77,91,1,-14,2016-11-11
Prairie View,Oregon State,58,78,1,-20,2016-11-11
Albany (NY),Penn State,87,81,0,6,2016-11-11
Cal Poly,Pepperdine,68,77,1,-9,2016-11-11
Eastern Michigan,Pitt,90,93,1,-3,2016-11-11
UC-Riverside,Portland,55,71,1,-16,2016-11-11
Furman,Presbyterian,71,73,1,-2,2016-11-11
McNeese State,Purdue,65,109,1,-44,2016-11-11
Dartmouth,Rhode Island,61,84,1,-23,2016-11-11
VMI,Richmond,69,72,1,-3,2016-11-11
Penn,Robert Morris,67,50,0,17,2016-11-11
Molloy,Rutgers,57,86,1,-29,2016-11-11
Ball State,Saint Louis,85,64,0,21,2016-11-11
Nevada,Saint Mary's,63,81,1,-18,2016-11-11
San Diego,San Diego State,59,69,1,-10,2016-11-11
UIC,San Francisco,80,82,1,-2,2016-11-11
Northern Arizona,Santa Clara,64,67,1,-3,2016-11-11
Pacific Lutheran,Seattle,65,76,1,-11,2016-11-11
Fairleigh Dickinson,Seton Hall,70,91,1,-21,2016-11-11
Louisiana Tech,South Carolina,76,85,1,-9,2016-11-11
Florida A&M,South Florida,73,84,1,-11,2016-11-11
Millsaps,Southeastern Louisiana,39,85,1,-46,2016-11-11
Montana,USC,61,75,1,-14,2016-11-11
Wright State,Southern Illinois,85,81,0,4,2016-11-11
Gardner-Webb,SMU,44,72,1,-28,2016-11-11
Tougaloo,Southern Miss,96,101,1,-5,2016-11-11
Bethune-Cookman,St. John's (NY),53,100,1,-47,2016-11-11
Harvard,Stanford,70,80,1,-10,2016-11-11
Webber,Stetson,62,78,1,-16,2016-11-11
Columbia,Stony Brook,73,66,0,7,2016-11-11
Colgate,Syracuse,55,83,1,-28,2016-11-11
La Salle,Temple,92,97,1,-5,2016-11-11
Chattanooga,Tennessee,82,69,0,13,2016-11-11
Incarnate Word,Texas,73,78,1,-5,2016-11-11
Northwestern State,Texas A&M,44,72,1,-28,2016-11-11
Our Lady of the Lake,Texas A&M-Corpus Christi,100,115,1,-15,2016-11-11
St. Thomas (TX),TCU,64,82,1,-18,2016-11-11
Houston Baptist,Texas Tech,67,93,1,-26,2016-11-11
Toccoa Falls,Troy,76,135,1,-59,2016-11-11
UNC,Tulane,95,75,0,20,2016-11-11
Jacksonville State,Tulsa,84,73,0,11,2016-11-11
Pacific,UCLA,80,119,1,-39,2016-11-11
Southern Utah,Valparaiso,65,79,1,-14,2016-11-11
Lafayette,Villanova,48,88,1,-40,2016-11-11
UNC Asheville,VCU,65,80,1,-15,2016-11-11
Maine,Virginia Tech,67,80,1,-13,2016-11-11
Radford,Wake Forest,59,80,1,-21,2016-11-11
Montana State,Washington State,65,69,1,-4,2016-11-11
Antelope Valley,Weber State,65,128,1,-63,2016-11-11
Mount St. Mary's,West Virginia,59,87,1,-28,2016-11-11
Marygrove,Western Michigan,74,90,1,-16,2016-11-11
South Carolina State,Wichita State,39,85,1,-46,2016-11-11
Central Arkansas,Wisconsin,47,79,1,-32,2016-11-11
Western State,Wyoming,49,88,1,-39,2016-11-11
Lehigh,Xavier,81,84,1,-3,2016-11-11
Central Baptist,Little Rock,65,97,1,-32,2016-11-12
Northwest University,Boise State,46,85,1,-39,2016-11-12
Northern Colorado,Butler,52,89,1,-37,2016-11-12
San Diego Christian,Cal State Bakersfield,54,96,1,-42,2016-11-12
Omaha,UCSB,74,60,0,14,2016-11-12
Illinois Tech,Chicago State,89,97,1,-8,2016-11-12
Kent State,Cleveland State,79,74,0,5,2016-11-12
Appalachian State,Davidson,74,86,1,-12,2016-11-12
Jacksonville,Denver,92,84,0,8,2016-11-12
Grand Canyon,Duke,61,96,1,-35,2016-11-12
Charleston Southern,Florida State,67,88,1,-21,2016-11-12
Towson,George Mason,67,61,0,6,2016-11-12
USC Upstate,Georgetown,60,105,1,-45,2016-11-12
Northland,Green Bay,49,84,1,-35,2016-11-12
Averett,High Point,41,74,1,-33,2016-11-12
Corban,Idaho,67,90,1,-23,2016-11-12
Wofford,LSU,69,91,1,-22,2016-11-12
North Carolina Central,Marshall,69,81,1,-12,2016-11-12
Tennessee State,Northern Arizona,69,65,0,4,2016-11-12
Coe,Northern Iowa,37,74,1,-37,2016-11-12
Bryant,Notre Dame,64,89,1,-25,2016-11-12
Southern,Ohio,67,77,1,-10,2016-11-12
Vermont,Quinnipiac,94,70,0,24,2016-11-12
Toledo,St. Joseph's,76,77,1,-1,2016-11-12
LeTourneau,Sam Houston State,57,104,1,-47,2016-11-12
West Coast Baptist,San Jose State,70,109,1,-39,2016-11-12
UC-Davis,Santa Clara,63,58,0,5,2016-11-12
Saint Francis (PA),St. Bonaventure,82,92,1,-10,2016-11-12
Texas Southern,Texas-Arlington,82,89,1,-7,2016-11-12
Louisiana College,UTEP,54,88,1,-34,2016-11-12
Northwest Nazarene,Utah,37,81,1,-44,2016-11-12
Trinity Christian,Valparaiso,75,89,1,-14,2016-11-12
Alabama State,Western Kentucky,66,79,1,-13,2016-11-12
Bridgewater (VA),William & Mary,44,96,1,-52,2016-11-12
Ferrum,Winthrop,47,66,1,-19,2016-11-12
Akron,Youngstown State,82,90,1,-8,2016-11-12
Cal Poly,Arizona State,74,96,1,-22,2016-11-13
Delaware,Bradley,63,49,0,14,2016-11-13
Niagara,Brown,79,88,1,-9,2016-11-13
Portland State,Cal State Fullerton,100,106,1,-6,2016-11-13
Northern Arizona,UC-Davis,76,89,1,-13,2016-11-13
Bristol University,UC-Riverside,45,81,1,-36,2016-11-13
Johnson University,Citadel,84,146,1,-62,2016-11-13
New Mexico State,Colorado State,61,64,1,-3,2016-11-13
Texas Southern,Delaware State,74,61,0,13,2016-11-13
Robert Morris,DePaul,72,78,1,-6,2016-11-13
Mercer,Florida,54,76,1,-22,2016-11-13
SIU-Edwardsville,Florida Atlantic,77,68,0,9,2016-11-13
Texas State,Hawaii,68,74,1,-6,2016-11-13
Northern Kentucky,Illinois,64,79,1,-15,2016-11-13
Savannah State,Iowa,84,116,1,-32,2016-11-13
Kenyon,Purdue-Fort Wayne,60,117,1,-57,2016-11-13
Rice,James Madison,94,70,0,24,2016-11-13
Canisius,Kentucky,69,93,1,-24,2016-11-13
Maine,Longwood,80,58,0,22,2016-11-13
Indiana-Northwest,Loyola (IL),51,100,1,-49,2016-11-13
UMBC,Maryland-Eastern Shore,77,73,0,4,2016-11-13
IUPUI,Michigan,65,77,1,-12,2016-11-13
Alabama A&M,Missouri,44,99,1,-55,2016-11-13
Jacksonville State,Missouri State,65,91,1,-26,2016-11-13
Lipscomb,Morehead State,75,89,1,-14,2016-11-13
Washington College,Navy,47,74,1,-27,2016-11-13
Sacramento State,Nebraska,61,83,1,-22,2016-11-13
Shenandoah,Norfolk State,58,78,1,-20,2016-11-13
Chattanooga,UNC,57,97,1,-40,2016-11-13
St. Francis (NY),NC State,61,86,1,-25,2016-11-13
Minnesota-Morris,North Dakota State,62,92,1,-30,2016-11-13
Northwestern State,Oklahoma,61,97,1,-36,2016-11-13
UTSA,Oregon State,64,72,1,-8,2016-11-13
Duquesne,Penn State,74,82,1,-8,2016-11-13
Drexel,Rutgers,66,87,1,-21,2016-11-13
Tennessee State,Santa Clara,69,61,0,8,2016-11-13
Central Connecticut,Seton Hall,58,82,1,-24,2016-11-13
Cornell,Siena,78,89,1,-11,2016-11-13
Holy Cross,South Carolina,49,81,1,-32,2016-11-13
Bowling Green State,South Dakota,72,78,1,-6,2016-11-13
Hannibal-LaGrange,Southeast Missouri State,54,86,1,-32,2016-11-13
Omaha,USC,72,82,1,-10,2016-11-13
Eastern Michigan,SMU,64,91,1,-27,2016-11-13
Texas-Rio Grande Valley,UT-Martin,80,88,1,-8,2016-11-13
Cal State Northridge,UCLA,87,102,1,-15,2016-11-13
Bucknell,Wake Forest,74,94,1,-20,2016-11-13
Yale,Washington,98,90,0,8,2016-11-13
Hiwassee,Western Carolina,47,87,1,-40,2016-11-13
Oak Hills,Western Illinois,48,95,1,-47,2016-11-13
Long Beach State,Wichita State,55,92,1,-37,2016-11-13
Jacksonville,Air Force,68,86,1,-18,2016-11-14
Furman,Alabama-Birmingham,84,74,0,10,2016-11-14
Southern Illinois,Arkansas,65,90,1,-25,2016-11-14
University of the Ozarks,Little Rock,61,100,1,-39,2016-11-14
Ecclesia,Arkansas-Pine Bluff,47,83,1,-36,2016-11-14
Central Baptist,Arkansas State,57,100,1,-43,2016-11-14
Georgia State,Auburn,65,83,1,-18,2016-11-14
Oakland City,Austin Peay,67,107,1,-40,2016-11-14
Princeton,BYU,73,82,1,-9,2016-11-14
South Dakota State,UC-Irvine,58,73,1,-15,2016-11-14
Nicholls State,UCF,56,80,1,-24,2016-11-14
Albany (NY),Cincinnati,51,74,1,-23,2016-11-14
College of Charleston,Coastal Carolina,71,64,0,7,2016-11-14
Seattle,Colorado,55,67,1,-12,2016-11-14
Northeastern,UConn,64,61,0,3,2016-11-14
North Carolina A&T,East Carolina,51,61,1,-10,2016-11-14
Detroit,ETSU,78,107,1,-29,2016-11-14
UNC Wilmington,Eastern Kentucky,78,69,0,9,2016-11-14
Charlotte,Elon,100,95,0,5,2016-11-14
Alcorn State,Evansville,59,82,1,-23,2016-11-14
NYIT,Fordham,75,101,1,-26,2016-11-14
Prairie View,Fresno State,84,78,0,6,2016-11-14
UNC Asheville,Georgia,46,60,1,-14,2016-11-14
Coastal Georgia,Georgia Southern,43,92,1,-49,2016-11-14
Southern,Georgia Tech,62,77,1,-15,2016-11-14
San Diego State,Gonzaga,48,69,1,-21,2016-11-14
Florida Atlantic,Hawaii,63,64,1,-1,2016-11-14
Mount St. Mary's,Iowa State,55,73,1,-18,2016-11-14
Brewton-Parker,Kennesaw State,74,80,1,-6,2016-11-14
William & Mary,Louisville,58,91,1,-33,2016-11-14
Eureka,Loyola (IL),59,97,1,-38,2016-11-14
Millersville,Loyola (MD),66,79,1,-13,2016-11-14
Howard,Marquette,49,81,1,-32,2016-11-14
Wagner,UMass-Lowell,76,87,1,-11,2016-11-14
Texas-Rio Grande Valley,Memphis,75,94,1,-19,2016-11-14
Texas-Arlington,Minnesota,67,84,1,-17,2016-11-14
UMass,Ole Miss,88,90,1,-2,2016-11-14
Wyoming,Montana,73,72,0,1,2016-11-14
Louisiana,Montana State,83,84,1,-1,2016-11-14
Loyola Marymount,Nevada,64,79,1,-15,2016-11-14
Houston Baptist,New Mexico,79,95,1,-16,2016-11-14
Presbyterian,UNC Greensboro,42,61,1,-19,2016-11-14
Edward Waters,North Florida,73,109,1,-36,2016-11-14
Roosevelt,Northern Illinois,55,99,1,-44,2016-11-14
Eastern Washington,Northwestern,72,86,1,-14,2016-11-14
Western Michigan,Oakland,60,77,1,-17,2016-11-14
Sam Houston State,Ohio,75,96,1,-21,2016-11-14
North Carolina Central,Ohio State,63,69,1,-6,2016-11-14
Central Arkansas,Oklahoma State,90,102,1,-12,2016-11-14
Rogers State,Oral Roberts,76,87,1,-11,2016-11-14
Green Bay,Pacific,58,76,1,-18,2016-11-14
Gardner-Webb,Pitt,80,99,1,-19,2016-11-14
Vermont,Providence,58,80,1,-22,2016-11-14
Villanova,Purdue,79,76,0,3,2016-11-14
Marist,Rhode Island,65,107,1,-42,2016-11-14
Old Dominion,Richmond,64,61,0,3,2016-11-14
Columbia,St. Joseph's,65,85,1,-20,2016-11-14
Southern Utah,Saint Louis,76,88,1,-12,2016-11-14
Lafayette,St. Peter's,61,57,0,4,2016-11-14
Samford,San Diego,83,65,0,18,2016-11-14
Blue Mountain College,South Alabama,35,88,1,-53,2016-11-14
St. Andrews,South Carolina State,76,93,1,-17,2016-11-14
Mars Hill,USC Upstate,66,91,1,-25,2016-11-14
Texas State,SIU-Edwardsville,86,58,0,28,2016-11-14
Binghamton,St. John's (NY),61,77,1,-16,2016-11-14
Florida International,Stetson,67,82,1,-15,2016-11-14
New Hampshire,Temple,57,52,0,5,2016-11-14
Central Michigan,Tennessee Tech,86,74,0,12,2016-11-14
Louisiana-Monroe,Texas,59,80,1,-21,2016-11-14
American,Texas A&M,53,76,1,-23,2016-11-14
Alabama State,TCU,62,98,1,-36,2016-11-14
Eastern Illinois,Troy,67,70,1,-3,2016-11-14
Southeastern Louisiana,Tulane,76,93,1,-17,2016-11-14
NJIT,Utah State,84,93,1,-9,2016-11-14
Coppin State,Valparaiso,58,78,1,-20,2016-11-14
Mississippi Valley State,West Virginia,66,107,1,-41,2016-11-14
Buffalo,Xavier,53,86,1,-33,2016-11-14
Johnson & Wales,Air Force,62,105,1,-43,2016-11-15
Dayton,Alabama,77,72,0,5,2016-11-15
Cal State Bakersfield,Arizona,66,78,1,-12,2016-11-15
Mt. St. Mary (NY),Army,53,91,1,-38,2016-11-15
Indiana State,Ball State,80,74,0,6,2016-11-15
Oregon,Baylor,49,66,1,-17,2016-11-15
Maryland-Eastern Shore,Boston College,57,73,1,-16,2016-11-15
Salve Regina,Bryant,61,88,1,-27,2016-11-15
Bridgewater (VA),Campbell,45,101,1,-56,2016-11-15
Columbia International,Charleston Southern,53,90,1,-37,2016-11-15
Truett-McConnell,Citadel,90,119,1,-29,2016-11-15
Canisius,Cleveland State,64,67,1,-3,2016-11-15
Wisconsin,Creighton,67,79,1,-12,2016-11-15
Fairfield,Dartmouth,79,62,0,17,2016-11-15
Rochester (MI),Eastern Michigan,63,78,1,-15,2016-11-15
Fairleigh Dickinson-Florham,Fairleigh Dickinson,48,96,1,-48,2016-11-15
Trinity Baptist,Florida A&M,62,94,1,-32,2016-11-15
Iona,Florida State,78,99,1,-21,2016-11-15
Lebanon Valley,George Mason,65,90,1,-25,2016-11-15
Siena,George Washington,75,77,1,-2,2016-11-15
Maryland,Georgetown,76,75,0,1,2016-11-15
Niagara,Hartford,78,82,1,-4,2016-11-15
McKendree,Illinois,65,112,1,-47,2016-11-15
St. Edward's,Incarnate Word,90,93,1,-3,2016-11-15
Duke,Kansas,75,77,1,-2,2016-11-15
Omaha,Kansas State,68,81,1,-13,2016-11-15
Delaware,La Salle,68,74,1,-6,2016-11-15
VCU,Liberty,64,59,0,5,2016-11-15
Piedmont,Lipscomb,70,99,1,-29,2016-11-15
Southern Miss,LSU,61,78,1,-17,2016-11-15
Winthrop,Manhattan,94,81,0,13,2016-11-15
Louisiana College,McNeese State,85,75,0,10,2016-11-15
Kentucky,Michigan State,69,48,0,21,2016-11-15
Murray State,Middle Tennessee,81,87,1,-6,2016-11-15
Drake,UMKC,62,68,1,-6,2016-11-15
Towson,Morgan State,78,72,0,6,2016-11-15
Mary,Nebraska,38,70,1,-32,2016-11-15
Elizabeth City State,Norfolk State,55,91,1,-36,2016-11-15
Long Beach State,UNC,67,93,1,-26,2016-11-15
Mayville State,North Dakota,66,94,1,-28,2016-11-15
Grand Canyon,Penn State,76,85,1,-9,2016-11-15
Weber State,Pepperdine,68,69,1,-1,2016-11-15
Hofstra,Sacred Heart,86,90,1,-4,2016-11-15
Portland,San Jose State,79,66,0,13,2016-11-15
Monmouth,South Carolina,69,70,1,-1,2016-11-15
Cal State Northridge,Stanford,69,96,1,-27,2016-11-15
Longwood,Stephen F. Austin,60,66,1,-6,2016-11-15
Holy Cross,Syracuse,46,90,1,-44,2016-11-15
Appalachian State,Tennessee,94,103,1,-9,2016-11-15
Cumberland,UT-Martin,64,95,1,-31,2016-11-15
North Texas,Texas Tech,43,70,1,-27,2016-11-15
Youngstown State,Toledo,98,103,1,-5,2016-11-15
Concordia (OR),Utah,53,96,1,-43,2016-11-15
Belmont,Vanderbilt,66,80,1,-14,2016-11-15
St. Francis (NY),Virginia,32,72,1,-40,2016-11-15
Southern Virginia,VMI,47,78,1,-31,2016-11-15
High Point,Virginia Tech,73,99,1,-26,2016-11-15
Central Washington,Washington State,76,81,1,-5,2016-11-15
Allen,Wofford,77,117,1,-40,2016-11-15
Miami (OH),Wright State,87,89,1,-2,2016-11-15
SUNY-Oneonta,Albany (NY),56,97,1,-41,2016-11-16
Kennesaw State,Bethune-Cookman,72,75,1,-3,2016-11-16
Central Connecticut,Binghamton,70,72,1,-2,2016-11-16
Robert Morris,Bucknell,62,75,1,-13,2016-11-16
Northwestern,Butler,68,70,1,-2,2016-11-16
UC-Irvine,California,65,75,1,-10,2016-11-16
San Francisco,UCSB,75,63,0,12,2016-11-16
Hiwassee,Chattanooga,54,102,1,-48,2016-11-16
Coppin State,Coastal Carolina,59,89,1,-30,2016-11-16
Fort Lewis,Colorado State,75,84,1,-9,2016-11-16
Colgate,Cornell,67,63,0,4,2016-11-16
Saint Francis (PA),Duquesne,75,89,1,-14,2016-11-16
Texas-Arlington,Florida Gulf Coast,72,85,1,-13,2016-11-16
Rider,Hartford,84,68,0,16,2016-11-16
UTSA,UIC,78,86,1,-8,2016-11-16
Purdue-Fort Wayne,Illinois State,57,75,1,-18,2016-11-16
UMass-Lowell,Indiana,78,100,1,-22,2016-11-16
Mississippi Valley State,Kent State,63,93,1,-30,2016-11-16
Loyola (MD),LIU-Brooklyn,61,65,1,-4,2016-11-16
Alabama State,Louisiana Tech,56,87,1,-31,2016-11-16
Vermont,Marist,76,72,0,4,2016-11-16
Morehead State,Marshall,77,85,1,-8,2016-11-16
Delaware State,UMBC,68,90,1,-22,2016-11-16
Milwaukee,Memphis,54,68,1,-14,2016-11-16
Mount St. Mary's,Minnesota,56,80,1,-24,2016-11-16
Rocky Mountain,Montana State,76,93,1,-17,2016-11-16
UC-Riverside,UNLV,62,74,1,-12,2016-11-16
Samford,New Mexico State,48,58,1,-10,2016-11-16
Miami (FL),North Florida,94,56,0,38,2016-11-16
Colorado Christian,Northern Colorado,73,94,1,-21,2016-11-16
Idaho,Northern Illinois,49,63,1,-14,2016-11-16
Seattle,Notre Dame,49,92,1,-43,2016-11-16
New Orleans,Oklahoma State,72,117,1,-45,2016-11-16
Lamar,Oregon State,63,60,0,3,2016-11-16
Central Pennsylvania College,Radford,69,91,1,-22,2016-11-16
Brown,Rhode Island,72,79,1,-7,2016-11-16
Texas Southern,Rice,71,68,0,3,2016-11-16
Prairie View,Saint Mary's,72,110,1,-38,2016-11-16
San Diego Christian,San Diego State,58,81,1,-23,2016-11-16
Presentation College,South Dakota,60,99,1,-39,2016-11-16
Wayne State (NE),South Dakota State,72,80,1,-8,2016-11-16
Jackson State,Southeastern Louisiana,71,84,1,-13,2016-11-16
Missouri Southern State,Southern Illinois,64,85,1,-21,2016-11-16
Texas A&M-Corpus Christi,Texas-Rio Grande Valley,94,72,0,22,2016-11-16
Bristol University,Utah State,53,96,1,-43,2016-11-16
Idaho State,Utah Valley,73,82,1,-9,2016-11-16
North Carolina Central,Western Carolina,67,59,0,8,2016-11-16
Southeast Missouri State,Western Illinois,74,71,0,3,2016-11-16
Jacksonville State,Western Kentucky,67,74,1,-7,2016-11-16
Tulsa,Wichita State,53,80,1,-27,2016-11-16
American,Akron,62,72,1,-10,2016-11-17
Troy,Alabama-Birmingham,51,74,1,-23,2016-11-17
Warren Wilson,Appalachian State,51,119,1,-68,2016-11-17
Northern Iowa,Arizona State,82,63,0,19,2016-11-17
Eastern Kentucky,Auburn,64,85,1,-21,2016-11-17
Coppin State,BYU,59,96,1,-37,2016-11-17
Nazareth,Buffalo,38,85,1,-47,2016-11-17
Cal St Dominguez Hills,Cal Poly,64,75,1,-11,2016-11-17
Holy Names,UC-Davis,75,89,1,-14,2016-11-17
Mississippi State,UCF,61,86,1,-25,2016-11-17
Marygrove,Central Michigan,58,107,1,-49,2016-11-17
East Carolina,Charlotte,64,76,1,-12,2016-11-17
Boise State,College of Charleston,47,60,1,-13,2016-11-17
Louisiana-Monroe,Colorado,70,89,1,-19,2016-11-17
Clemson,Davidson,95,78,0,17,2016-11-17
Rutgers,DePaul,66,59,0,7,2016-11-17
Johnson University,Florida A&M,91,100,1,-9,2016-11-17
Arkansas-Pine Bluff,George Washington,41,61,1,-20,2016-11-17
Arkansas State,Georgetown,78,72,0,6,2016-11-17
Furman,Georgia,78,84,1,-6,2016-11-17
North Carolina A&T,Grambling,55,59,1,-4,2016-11-17
Chowan,Hampton,69,70,1,-1,2016-11-17
Fisher College,Harvard,51,78,1,-27,2016-11-17
Seton Hall,Iowa,91,83,0,8,2016-11-17
NJIT,Lafayette,83,84,1,-1,2016-11-17
Panhandle State,Louisiana,47,117,1,-70,2016-11-17
Long Beach State,Louisville,56,88,1,-32,2016-11-17
UConn,Loyola Marymount,65,62,0,3,2016-11-17
Michigan,Marquette,79,61,0,18,2016-11-17
St. Mary's (MD),Maryland,45,93,1,-48,2016-11-17
Temple,UMass,67,70,1,-3,2016-11-17
Xavier,Missouri,83,82,0,1,2016-11-17
Fontbonne,Missouri State,27,100,1,-73,2016-11-17
Wilmington (DE),Morgan State,73,88,1,-15,2016-11-17
Abilene Christian,New Hampshire,65,57,0,8,2016-11-17
Mississippi College,Nicholls State,55,86,1,-31,2016-11-17
Benedictine,Northern Arizona,63,91,1,-28,2016-11-17
Providence,Ohio State,67,72,1,-5,2016-11-17
Tulane,Oklahoma,70,89,1,-19,2016-11-17
Valparaiso,Oregon,54,76,1,-22,2016-11-17
Life Pacific,Pepperdine,79,85,1,-6,2016-11-17
George Fox,Portland State,81,113,1,-32,2016-11-17
Antelope Valley,Sacramento State,60,82,1,-22,2016-11-17
Eastern Illinois,Saint Louis,69,74,1,-5,2016-11-17
Southern,Sam Houston State,83,91,1,-8,2016-11-17
Denver,San Jose State,74,69,0,5,2016-11-17
Middle Georgia State,Savannah State,93,101,1,-8,2016-11-17
