Road,Home,Road_score,Home_score,Home_w,margin,Date
Harris-Stowe,Murray State,55,105,1,-50,2015-11-13
Florida,Navy,59,41,0,18,2015-11-13
UCSB,Omaha,60,59,0,1,2015-11-13
Cal Poly,UNLV,72,74,1,-2,2015-11-13
Lyndon State,New Hampshire,45,82,1,-37,2015-11-13
Texas Southern,New Mexico,57,86,1,-29,2015-11-13
Houston Baptist,New Mexico State,69,91,1,-22,2015-11-13
William & Mary,NC State,85,68,0,17,2015-11-13
Milligan,UNC Wilmington,62,100,1,-38,2015-11-13
Minnesota-Morris,North Dakota,69,99,1,-30,2015-11-13
Jarvis Christian,North Texas,82,112,1,-30,2015-11-13
Cal State Northridge,Northern Illinois,71,83,1,-12,2015-11-13
UMass-Lowell,Northwestern,57,79,1,-22,2015-11-13
Saint Francis (PA),Notre Dame,56,87,1,-31,2015-11-13
UT-Martin,Oklahoma State,57,91,1,-34,2015-11-13
Niagara,Old Dominion,50,67,1,-17,2015-11-13
Missouri State,Oral Roberts,65,80,1,-15,2015-11-13
Jackson State,Oregon,52,80,1,-28,2015-11-13
Robert Morris,Penn,75,76,1,-1,2015-11-13
Oregon Tech,Portland,81,98,1,-17,2015-11-13
North Carolina A&T,Purdue,40,81,1,-41,2015-11-13
American,Rhode Island,42,65,1,-23,2015-11-13
James Madison,Richmond,87,75,0,12,2015-11-13
Princeton,Rider,64,56,0,8,2015-11-13
Rutgers-Newark,Rutgers,59,72,1,-13,2015-11-13
Quinnipiac,Sacred Heart,64,76,1,-12,2015-11-13
Drexel,St. Joseph's,81,82,1,-1,2015-11-13
San Francisco State,Saint Mary's,56,80,1,-24,2015-11-13
Brown,St. Peter's,65,77,1,-12,2015-11-13
Illinois State,San Diego State,60,71,1,-11,2015-11-13
Lipscomb,Santa Clara,65,63,0,2,2015-11-13
Florida National University,Savannah State,69,87,1,-18,2015-11-13
Arkansas-Pine Bluff,Seattle,58,56,0,2,2015-11-13
Dartmouth,Seton Hall,67,84,1,-17,2015-11-13
Auburn Montgomery,South Alabama,68,88,1,-20,2015-11-13
Chadron State,South Dakota State,52,87,1,-35,2015-11-13
Troy,South Florida,82,77,0,5,2015-11-13
San Diego,USC,45,83,1,-38,2015-11-13
Air Force,Southern Illinois,75,77,1,-2,2015-11-13
Arkansas State,SIU-Edwardsville,70,79,1,-9,2015-11-13
Binghamton,St. Bonaventure,53,63,1,-10,2015-11-13
Wagner,St. John's (NY),57,66,1,-9,2015-11-13
Green Bay,Stanford,89,93,1,-4,2015-11-13
Lehigh,Syracuse,47,57,1,-10,2015-11-13
UNC,Temple,91,67,0,24,2015-11-13
UNC Asheville,Tennessee,78,82,1,-4,2015-11-13
USC Upstate,Texas A&M,64,104,1,-40,2015-11-13
Our Lady of the Lake,Texas A&M-Corpus Christi,72,94,1,-22,2015-11-13
Southeastern Louisiana,TCU,77,90,1,-13,2015-11-13
High Point,Texas Tech,73,77,1,-4,2015-11-13
Alabama A&M,Tulane,68,67,0,1,2015-11-13
Monmouth,UCLA,84,81,0,3,2015-11-13
Southern Utah,Utah,71,82,1,-11,2015-11-13
Purdue-Fort Wayne,Valparaiso,64,78,1,-14,2015-11-13
Austin Peay,Vanderbilt,41,80,1,-39,2015-11-13
Fairleigh Dickinson,Villanova,54,91,1,-37,2015-11-13
Morgan State,Virginia,48,86,1,-38,2015-11-13
Prairie View,VCU,50,75,1,-25,2015-11-13
UMBC,Wake Forest,73,78,1,-5,2015-11-13
Texas,Washington,71,77,1,-6,2015-11-13
Northern Arizona,Washington State,70,82,1,-12,2015-11-13
Utah State,Weber State,73,70,0,3,2015-11-13
Northern Kentucky,West Virginia,61,107,1,-46,2015-11-13
Charleston Southern,Wichita State,63,88,1,-25,2015-11-13
Western Illinois,Wisconsin,69,67,0,2,2015-11-13
South Dakota,Wright State,69,77,1,-8,2015-11-13
Bristol University,Wyoming,62,101,1,-39,2015-11-13
Miami (OH),Xavier,72,81,1,-9,2015-11-13
Fairfield,Yale,57,70,1,-13,2015-11-13
Cleveland State,Akron,53,65,1,-12,2015-11-14
Jacksonville,Appalachian State,68,76,1,-8,2015-11-14
Central Baptist,Little Rock,57,76,1,-19,2015-11-14
St. Francis (NY),Boston College,49,75,1,-26,2015-11-14
New Orleans,Bowling Green State,61,79,1,-18,2015-11-14
Citadel,Butler,71,144,1,-73,2015-11-14
San Diego Christian,Cal State Bakersfield,69,93,1,-24,2015-11-14
William Jessup,UC-Riverside,68,100,1,-32,2015-11-14
Texas Southern,Creighton,70,93,1,-23,2015-11-14
UCF,Davidson,85,90,1,-5,2015-11-14
Western Michigan,DePaul,63,69,1,-6,2015-11-14
Bryant,Duke,75,113,1,-38,2015-11-14
Averett,ETSU,59,107,1,-48,2015-11-14
Radford,Georgetown,82,80,0,2,2015-11-14
Youngstown State,Kent State,70,79,1,-9,2015-11-14
NJIT,Kentucky,57,87,1,-30,2015-11-14
Towson,La Salle,76,78,1,-2,2015-11-14
Summit,Liberty,52,90,1,-38,2015-11-14
Milwaukee,Lipscomb,71,65,0,6,2015-11-14
Brigham Young-Hawaii,Long Beach State,57,91,1,-34,2015-11-14
Eureka,Loyola (IL),51,84,1,-33,2015-11-14
Howard,UMass,79,85,1,-6,2015-11-14
Southern Miss,Memphis,49,67,1,-18,2015-11-14
Grambling,Mid-Atlantic Christian,85,26,0,59,2015-11-14
Hawaii-Hilo,Montana State,85,90,1,-5,2015-11-14
Mississippi Valley State,Nebraska,51,97,1,-46,2015-11-14
Greensboro,UNC Greensboro,69,86,1,-17,2015-11-14
South Dakota,Northern Illinois,65,72,1,-7,2015-11-14
Colorado State,Northern Iowa,84,78,0,6,2015-11-14
Florida Gulf Coast,Ohio,75,85,1,-10,2015-11-14
Northwest Christian,Oregon State,52,74,1,-22,2015-11-14
VMI,Penn State,50,62,1,-12,2015-11-14
Harvard,Providence,64,76,1,-12,2015-11-14
Idaho,San Jose State,74,54,0,20,2015-11-14
Denver,Santa Clara,55,33,0,22,2015-11-14
Norfolk State,South Carolina,69,84,1,-15,2015-11-14
Sam Houston State,SMU,50,85,1,-35,2015-11-14
Merchant Marine Academy,Stony Brook,32,103,1,-71,2015-11-14
Piedmont,Tennessee Tech,72,110,1,-38,2015-11-14
Fordham,Texas-Arlington,72,77,1,-5,2015-11-14
Loyola (LA),UTEP,49,96,1,-47,2015-11-14
West Virginia Tech,Toledo,65,96,1,-31,2015-11-14
Central Arkansas,Tulsa,81,98,1,-17,2015-11-14
Great Falls,Utah Valley,60,89,1,-29,2015-11-14
Alabama State,Virginia Tech,85,82,0,3,2015-11-14
Campbellsville,Western Kentucky,77,97,1,-20,2015-11-14
Hampton,Winthrop,95,102,1,-7,2015-11-14
Cal State Northridge,Wright State,72,67,0,5,2015-11-14
Army,Binghamton,75,60,0,15,2015-11-15
Wake Forest,Bucknell,90,82,0,8,2015-11-15
Portland,UC-Davis,66,79,1,-13,2015-11-15
Loyola Marymount,UC-Irvine,53,77,1,-24,2015-11-15
Robert Morris,Cincinnati,44,106,1,-62,2015-11-15
UTSA,Clemson,45,78,1,-33,2015-11-15
George Fox,Eastern Washington,64,126,1,-62,2015-11-15
Southeast Missouri State,Evansville,65,80,1,-15,2015-11-15
Nicholls State,Florida State,62,109,1,-47,2015-11-15
Coastal Carolina,Hawaii,63,74,1,-11,2015-11-15
North Carolina Wesleyan,High Point,69,93,1,-24,2015-11-15
North Dakota State,Illinois,74,80,1,-6,2015-11-15
Coppin State,Iowa,68,103,1,-35,2015-11-15
Fort Valley State,Jacksonville State,68,81,1,-13,2015-11-15
St. Peter's,Lafayette,86,87,1,-1,2015-11-15
Denver,Lipscomb,82,69,0,13,2015-11-15
Louisiana-Monroe,Minnesota,56,67,1,-11,2015-11-15
Maryland-Eastern Shore,Missouri,55,73,1,-18,2015-11-15
William Jewell,UMKC,59,73,1,-14,2015-11-15
Saint Mary's (MN),Omaha,58,104,1,-46,2015-11-15
Montana State,Nevada,62,83,1,-21,2015-11-15
New Mexico,New Mexico State,83,74,0,9,2015-11-15
Fairfield,UNC,65,92,1,-27,2015-11-15
South Alabama,NC State,70,88,1,-18,2015-11-15
Wright State,Northern Illinois,59,65,1,-6,2015-11-15
Mount St. Mary's,Ohio State,54,76,1,-22,2015-11-15
Central Connecticut,Penn,61,77,1,-16,2015-11-15
Vermont,Purdue,79,107,1,-28,2015-11-15
Stetson,Richmond,85,108,1,-23,2015-11-15
Howard,Rutgers,70,82,1,-12,2015-11-15
Niagara,St. Joseph's,62,73,1,-11,2015-11-15
Hartford,Saint Louis,68,85,1,-17,2015-11-15
Milwaukee,Santa Clara,71,65,0,6,2015-11-15
Sacramento State,Seattle,77,65,0,12,2015-11-15
Wagner,Seton Hall,59,69,1,-10,2015-11-15
Cal State Northridge,South Dakota,72,76,1,-4,2015-11-15
Florida A&M,Southern Illinois,51,81,1,-30,2015-11-15
Charleston Southern,Stanford,59,93,1,-34,2015-11-15
Reinhardt,Troy,82,97,1,-15,2015-11-15
Cal Poly,UCLA,83,88,1,-5,2015-11-15
Iona,Valparaiso,58,83,1,-25,2015-11-15
UNC Asheville,Western Carolina,81,90,1,-9,2015-11-15
Hannibal-LaGrange,Western Illinois,57,94,1,-37,2015-11-15
Siena,Wisconsin,65,92,1,-27,2015-11-15
Tennessee Tech,Air Force,70,80,1,-10,2015-11-16
Hiram,Akron,30,100,1,-70,2015-11-16
Alabama State,Alabama-Birmingham,70,72,1,-2,2015-11-16
Bradley,Arizona,60,90,1,-30,2015-11-16
Belmont,Arizona State,74,83,1,-9,2015-11-16
Lyon,Arkansas State,37,81,1,-44,2015-11-16
Eastern Illinois,Ball State,56,73,1,-17,2015-11-16
Northern Arizona,Boise State,81,101,1,-20,2015-11-16
Albany (NY),Boston University,64,69,1,-5,2015-11-16
Holy Cross,Brown,55,71,1,-16,2015-11-16
UCSB,California,67,85,1,-18,2015-11-16
Lehigh,Canisius,89,98,1,-9,2015-11-16
Hiwassee,Chattanooga,55,94,1,-39,2015-11-16
Cornell,Colgate,101,98,0,3,2015-11-16
Central State (OH),Detroit,65,88,1,-23,2015-11-16
New Orleans,Duquesne,75,95,1,-20,2015-11-16
Charlotte,East Carolina,74,88,1,-14,2015-11-16
Fairleigh Dickinson-Florham,Fairleigh Dickinson,70,111,1,-41,2015-11-16
North Carolina A&T,Florida,54,104,1,-50,2015-11-16
Texas Wesleyan,Florida Gulf Coast,62,85,1,-23,2015-11-16
Florida Memorial,Florida International,51,67,1,-16,2015-11-16
Lamar,Fresno State,72,80,1,-8,2015-11-16
Virginia,George Washington,68,73,1,-5,2015-11-16
Tennessee,Georgia Tech,67,69,1,-2,2015-11-16
Nevada,Hawaii,75,76,1,-1,2015-11-16
Molloy,Hofstra,64,96,1,-32,2015-11-16
Crowley's Ridge,Houston Baptist,62,102,1,-40,2015-11-16
Dickinson State (ND),Idaho State,85,110,1,-25,2015-11-16
Morehead State,Illinois State,66,67,1,-1,2015-11-16
Schreiner,Incarnate Word,49,73,1,-24,2015-11-16
Austin Peay,Indiana,76,102,1,-26,2015-11-16
Wyoming,Indiana State,55,70,1,-15,2015-11-16
Chicago State,Iowa State,64,106,1,-42,2015-11-16
Manchester,Purdue-Fort Wayne,53,85,1,-32,2015-11-16
Oakwood,Jacksonville State,60,96,1,-36,2015-11-16
Columbia,Kansas State,71,81,1,-10,2015-11-16
BYU,Long Beach State,65,66,1,-1,2015-11-16
La Roche,Longwood,65,89,1,-24,2015-11-16
Kennesaw State,LSU,69,91,1,-22,2015-11-16
LIU-Brooklyn,Loyola (MD),71,68,0,3,2015-11-16
IUPUI,Marquette,71,75,1,-4,2015-11-16
George Mason,Mercer,60,69,1,-9,2015-11-16
Louisiana,Miami (FL),77,93,1,-16,2015-11-16
Elon,Michigan,68,88,1,-20,2015-11-16
Georgia Southern,Ole Miss,72,82,1,-10,2015-11-16
Southern,Mississippi State,76,72,0,4,2015-11-16
College of Charleston,Navy,72,58,0,14,2015-11-16
New Mexico Highlands,UNLV,45,107,1,-62,2015-11-16
Allen,North Carolina Central,54,78,1,-24,2015-11-16
Eastern Kentucky,UNC Wilmington,59,78,1,-19,2015-11-16
Texas-Rio Grande Valley,North Florida,84,106,1,-22,2015-11-16
Texas College,North Texas,61,110,1,-49,2015-11-16
Louisiana State-Alexandria,Northwestern State,99,97,0,2,2015-11-16
Tennessee State,Ohio,67,75,1,-8,2015-11-16
Arkansas-Pine Bluff,Oklahoma State,72,86,1,-14,2015-11-16
Buffalo,Old Dominion,58,77,1,-19,2015-11-16
Baylor,Oregon,67,74,1,-7,2015-11-16
San Diego Christian,Pepperdine,49,91,1,-42,2015-11-16
Pacific Lutheran,Portland State,60,105,1,-45,2015-11-16
USC Upstate,Presbyterian,73,74,1,-1,2015-11-16
Manhattan,Saint Mary's,63,89,1,-26,2015-11-16
Auburn Montgomery,Samford,79,94,1,-15,2015-11-16
Rice,San Francisco,54,80,1,-26,2015-11-16
Montana,San Jose State,61,64,1,-3,2015-11-16
Campbell,Savannah State,57,59,1,-2,2015-11-16
Oral Roberts,South Carolina,66,84,1,-18,2015-11-16
Voorhees,South Carolina State,69,113,1,-44,2015-11-16
Weber State,South Dakota State,68,85,1,-17,2015-11-16
NJIT,South Florida,60,57,0,3,2015-11-16
Monmouth,USC,90,101,1,-11,2015-11-16
UMBC,St. John's (NY),53,75,1,-22,2015-11-16
Bethune-Cookman,UT-Martin,86,79,0,7,2015-11-16
Southeastern Louisiana,Texas A&M,58,100,1,-42,2015-11-16
Texas-Tyler,Texas State,49,84,1,-35,2015-11-16
Morgan State,Towson,61,69,1,-8,2015-11-16
Drake,Tulane,74,79,1,-5,2015-11-16
San Diego State,Utah,76,81,1,-5,2015-11-16
Gardner-Webb,Vanderbilt,62,98,1,-36,2015-11-16
Radford,VCU,74,92,1,-18,2015-11-16
James Madison,West Virginia,73,86,1,-13,2015-11-16
Sacred Heart,Yale,77,99,1,-22,2015-11-16
Howard Payne,Abilene Christian,56,70,1,-14,2015-11-17
Hampton,American,61,48,0,13,2015-11-17
Furman,Appalachian State,79,70,0,9,2015-11-17
Colorado,Auburn,91,84,0,7,2015-11-17
Idaho,Cal State Bakersfield,45,68,1,-23,2015-11-17
Alma,Central Michigan,64,79,1,-15,2015-11-17
Stetson,Citadel,93,94,1,-1,2015-11-17
Malone,Cleveland State,46,62,1,-16,2015-11-17
New Hampshire,UConn,66,85,1,-19,2015-11-17
UTSA,Creighton,78,103,1,-25,2015-11-17
Alabama,Dayton,48,80,1,-32,2015-11-17
Penn,Delaware State,60,54,0,6,2015-11-17
Kentucky,Duke,74,63,0,11,2015-11-17
Green Bay,ETSU,90,103,1,-13,2015-11-17
Marian,Evansville,59,84,1,-25,2015-11-17
Warner Southern,Florida Atlantic,75,72,0,3,2015-11-17
Jacksonville,Florida State,79,98,1,-19,2015-11-17
Queens (NY),Fordham,57,76,1,-19,2015-11-17
Black Hills State,Grand Canyon,72,88,1,-16,2015-11-17
UMass,Harvard,69,63,0,6,2015-11-17
Rider,La Salle,60,73,1,-13,2015-11-17
William & Mary,Liberty,70,59,0,11,2015-11-17
Oakland City,Lipscomb,69,96,1,-27,2015-11-17
Texas-Arlington,Louisiana Tech,68,80,1,-12,2015-11-17
Hartford,Louisville,52,87,1,-35,2015-11-17
Dartmouth,Marist,63,73,1,-10,2015-11-17
Georgetown,Maryland,71,75,1,-4,2015-11-17
Louisiana College,McNeese State,73,70,0,3,2015-11-17
Oklahoma,Memphis,84,78,0,6,2015-11-17
Kenyon,Miami (OH),47,68,1,-21,2015-11-17
Kansas,Michigan State,73,79,1,-6,2015-11-17
Middle Tennessee,Murray State,65,76,1,-11,2015-11-17
UMKC,Omaha,89,95,1,-6,2015-11-17
Washington Adventist,Norfolk State,58,78,1,-20,2015-11-17
Chowan,UNC Greensboro,60,81,1,-21,2015-11-17
Wentworth,Northeastern,62,91,1,-29,2015-11-17
Colorado Christian,Northern Colorado,70,85,1,-15,2015-11-17
Stephen F. Austin,Northern Iowa,60,70,1,-10,2015-11-17
Tiffin,Northern Kentucky,71,83,1,-12,2015-11-17
Milwaukee,Notre Dame,78,86,1,-8,2015-11-17
Grambling,Ohio State,55,82,1,-27,2015-11-17
Iona,Oregon State,73,93,1,-20,2015-11-17
Cal State Fullerton,Pacific,77,76,0,1,2015-11-17
DePaul,Penn State,62,68,1,-6,2015-11-17
Saint Joseph's (IN),Pitt,43,84,1,-41,2015-11-17
Valparaiso,Rhode Island,58,55,0,3,2015-11-17
Westminster,Saint Francis (PA),72,103,1,-31,2015-11-17
St. Thomas (TX),Sam Houston State,92,114,1,-22,2015-11-17
Jackson State,Southern Miss,78,60,0,18,2015-11-17
Mount Saint Vincent,St. Francis (NY),67,93,1,-26,2015-11-17
St. Bonaventure,Syracuse,66,79,1,-13,2015-11-17
Wichita State,Tulsa,67,77,1,-10,2015-11-17
Adams State,Utah State,68,83,1,-15,2015-11-17
Nebraska,Villanova,63,87,1,-24,2015-11-17
Tusculum,VMI,76,88,1,-12,2015-11-17
UIC,Western Illinois,57,84,1,-27,2015-11-17
San Diego,Western Michigan,62,74,1,-12,2015-11-17
Truett-McConnell,Winthrop,78,106,1,-28,2015-11-17
North Dakota,Wisconsin,64,78,1,-14,2015-11-17
Missouri,Xavier,66,78,1,-12,2015-11-17
Kennesaw State,Arizona State,53,91,1,-38,2015-11-18
Akron,Arkansas,88,80,0,8,2015-11-18
Centenary (LA),Little Rock,49,95,1,-46,2015-11-18
Purdue-Fort Wayne,Austin Peay,80,77,0,3,2015-11-18
Western Kentucky,Belmont,85,90,1,-5,2015-11-18
Cincinnati,Bowling Green State,83,50,0,33,2015-11-18
Emerson,Bryant,69,82,1,-13,2015-11-18
Cal State Monterey Bay,Cal Poly,62,71,1,-9,2015-11-18
Vanguard,Cal State Northridge,52,72,1,-20,2015-11-18
Fresno Pacific,UC-Davis,46,76,1,-30,2015-11-18
UC-Irvine,UCF,61,60,0,1,2015-11-18
Johnson & Wales (NC),Charleston Southern,65,97,1,-32,2015-11-18
Indiana-Northwest,Chicago State,64,105,1,-41,2015-11-18
Grace Bible,Coastal Carolina,67,104,1,-37,2015-11-18
Goldey-Beacom,Coppin State,73,80,1,-7,2015-11-18
Binghamton,Cornell,59,76,1,-17,2015-11-18
Utah Valley,Denver,62,75,1,-13,2015-11-18
High Point,Drexel,75,66,0,9,2015-11-18
Seattle,Eastern Washington,70,76,1,-6,2015-11-18
Belmont Abbey,Elon,57,84,1,-27,2015-11-18
Army,Fairleigh Dickinson,96,85,0,11,2015-11-18
Thomas University,Florida A&M,68,70,1,-2,2015-11-18
Northern Arizona,Gonzaga,52,91,1,-39,2015-11-18
Prairie View,Houston,69,110,1,-41,2015-11-18
Loyola (MD),UMBC,76,57,0,19,2015-11-18
Sacred Heart,UMass-Lowell,84,87,1,-3,2015-11-18
Southern Utah,UNLV,64,84,1,-20,2015-11-18
Loyola (IL),New Mexico,51,75,1,-24,2015-11-18
Tennessee Tech,New Mexico State,63,76,1,-13,2015-11-18
Brown,Niagara,66,75,1,-9,2015-11-18
Wofford,UNC,58,78,1,-20,2015-11-18
Mars Hill,UNC Asheville,51,84,1,-33,2015-11-18
Roanoke,North Carolina A&T,94,87,0,7,2015-11-18
IUPUI,NC State,56,79,1,-23,2015-11-18
Valley City State,North Dakota State,49,69,1,-20,2015-11-18
Edward Waters,North Florida,69,98,1,-29,2015-11-18
Fairfield,Northwestern,72,79,1,-7,2015-11-18
Eastern Michigan,Oakland,81,91,1,-10,2015-11-18
Morgan State,Old Dominion,48,79,1,-31,2015-11-18
Toccoa Falls,Presbyterian,75,116,1,-41,2015-11-18
Illinois,Providence,59,60,1,-1,2015-11-18
Incarnate Word,Purdue,61,96,1,-35,2015-11-18
Catawba,Radford,60,68,1,-8,2015-11-18
Bucknell,Robert Morris,81,76,0,5,2015-11-18
Buffalo,St. Joseph's,67,89,1,-22,2015-11-18
San Diego Christian,San Diego State,61,71,1,-10,2015-11-18
Arkansas State,Savannah State,75,76,1,-1,2015-11-18
Mississippi College,Southeastern Louisiana,69,76,1,-7,2015-11-18
Kent State,Southern Illinois,69,72,1,-3,2015-11-18
Saint Louis,SIU-Edwardsville,70,60,0,10,2015-11-18
Fisk,Tennessee State,50,72,1,-22,2015-11-18
Indiana-Kokomo,Valparaiso,40,78,1,-38,2015-11-18
Quinnipiac,Vermont,70,83,1,-13,2015-11-18
Jacksonville State,Virginia Tech,62,71,1,-9,2015-11-18
Richmond,Wake Forest,91,82,0,9,2015-11-18
Toledo,Youngstown State,100,78,0,22,2015-11-18
Mississippi Valley State,Air Force,64,65,1,-1,2015-11-19
Southeast Missouri State,Alabama A&M,56,74,1,-18,2015-11-19
Colgate,Albany (NY),67,88,1,-21,2015-11-19
Boise State,Arizona,76,88,1,-12,2015-11-19
Central Connecticut,Boston College,57,82,1,-25,2015-11-19
Virginia,Bradley,82,57,0,25,2015-11-19
Santa Clara,UC-Riverside,63,77,1,-14,2015-11-19
Furman,Charlotte,68,77,1,-9,2015-11-19
Mid-Atlantic Christian,Citadel,60,132,1,-72,2015-11-19
Texas Southern,Clemson,56,76,1,-20,2015-11-19
Loyola Marymount,Colorado State,75,83,1,-8,2015-11-19
San Francisco,Fresno State,71,78,1,-7,2015-11-19
Toccoa Falls,Gardner-Webb,79,125,1,-46,2015-11-19
Ole Miss,George Mason,62,68,1,-6,2015-11-19
Emmanuel,Georgia State,58,77,1,-19,2015-11-19
Green Bay,Georgia Tech,77,107,1,-30,2015-11-19
Alcorn State,Grand Canyon,46,79,1,-33,2015-11-19
New Hampshire,Holy Cross,73,69,0,4,2015-11-19
South Dakota State,Illinois State,83,67,0,16,2015-11-19
Creighton,Indiana,65,86,1,-21,2015-11-19
Yale,Lehigh,79,67,0,12,2015-11-19
Maine,LIU-Brooklyn,79,84,1,-5,2015-11-19
South Alabama,LSU,66,78,1,-12,2015-11-19
Iowa,Marquette,89,61,0,28,2015-11-19
Central Arkansas,UMass,62,89,1,-27,2015-11-19
Grambling,Memphis,65,83,1,-18,2015-11-19
Alabama State,Mercer,49,70,1,-21,2015-11-19
Temple,Minnesota,75,70,0,5,2015-11-19
Miami (FL),Mississippi State,105,79,0,26,2015-11-19
Butler,Missouri State,93,59,0,34,2015-11-19
Delaware State,Nebraska,60,75,1,-15,2015-11-19
Pensacola Christian,New Orleans,57,94,1,-37,2015-11-19
Mobile,Nicholls State,58,80,1,-22,2015-11-19
Boston University,NJIT,76,90,1,-14,2015-11-19
Louisiana-Monroe,Northwestern State,80,64,0,16,2015-11-19
Oregon State,Rice,77,69,0,8,2015-11-19
Hartford,St. Peter's,67,66,0,1,2015-11-19
Long Beach State,Seton Hall,80,77,0,3,2015-11-19
Navy,USC Upstate,67,55,0,12,2015-11-19
George Washington,South Florida,73,67,0,6,2015-11-19
Tulane,Southern,82,90,1,-8,2015-11-19
