Road,Home,Road_score,Home_score,Home_w,margin,Date
University of the Southwest,Abilene Christian,63,94,1,-31,2015-11-13
Kennesaw State,Alabama,64,77,1,-13,2015-11-13
Pacific,Arizona,61,79,1,-18,2015-11-13
Sacramento State,Arizona State,66,63,0,3,2015-11-13
Southern,Arkansas,68,86,1,-18,2015-11-13
Ferrum,Army,54,93,1,-39,2015-11-13
Alabama-Birmingham,Auburn,74,75,1,-1,2015-11-13
Stephen F. Austin,Baylor,55,97,1,-42,2015-11-13
Trinity (FL),Bethune-Cookman,54,108,1,-54,2015-11-13
Northeastern,Boston University,87,84,0,3,2015-11-13
Ball State,Bradley,53,54,1,-1,2015-11-13
Utah Valley,BYU,54,85,1,-31,2015-11-13
Shenandoah,Bucknell,61,107,1,-46,2015-11-13
Pittsburgh-Bradford,Buffalo,49,109,1,-60,2015-11-13
Rice,California,65,97,1,-32,2015-11-13
North Dakota State,UC-Davis,79,71,0,8,2015-11-13
UC-San Diego,UC-Irvine,73,89,1,-16,2015-11-13
Montreat,Campbell,42,87,1,-45,2015-11-13
Hartford,Central Connecticut,92,83,0,9,2015-11-13
Jacksonville State,Central Michigan,83,89,1,-6,2015-11-13
Elon,Charlotte,85,74,0,11,2015-11-13
Illinois Tech,Chicago State,59,137,1,-78,2015-11-13
Western Carolina,Cincinnati,72,97,1,-25,2015-11-13
North Carolina Central,Clemson,40,74,1,-34,2015-11-13
Nevada,Coastal Carolina,73,56,0,17,2015-11-13
South Carolina State,College of Charleston,54,74,1,-20,2015-11-13
Kean,Columbia,62,107,1,-45,2015-11-13
Maine,UConn,56,100,1,-44,2015-11-13
Southeast Missouri State,Dayton,53,84,1,-31,2015-11-13
Delaware,Delaware State,62,56,0,6,2015-11-13
Milwaukee,Denver,71,58,0,13,2015-11-13
Simpson,Drake,52,97,1,-45,2015-11-13
Siena,Duke,74,92,1,-18,2015-11-13
Seton Hill,Duquesne,71,96,1,-25,2015-11-13
Grambling,East Carolina,53,61,1,-8,2015-11-13
Coppin State,Eastern Kentucky,80,107,1,-27,2015-11-13
Vermont,Eastern Michigan,50,70,1,-20,2015-11-13
Johnson University,Florida A&M,71,103,1,-32,2015-11-13
Trinity Baptist,Florida International,39,71,1,-32,2015-11-13
Pepperdine,Fresno State,66,69,1,-3,2015-11-13
Presbyterian,Furman,53,63,1,-10,2015-11-13
Colgate,George Mason,66,53,0,13,2015-11-13
Lafayette,George Washington,76,85,1,-9,2015-11-13
Chattanooga,Georgia,92,90,0,2,2015-11-13
Webber,Georgia Southern,49,116,1,-67,2015-11-13
Middle Georgia State,Georgia State,54,73,1,-19,2015-11-13
Cornell,Georgia Tech,81,116,1,-35,2015-11-13
Portland State,Grand Canyon,72,82,1,-10,2015-11-13
MIT,Harvard,39,59,1,-20,2015-11-13
Montana State,Hawaii,76,87,1,-11,2015-11-13
Canisius,Hofstra,85,96,1,-11,2015-11-13
Great Falls,Idaho State,72,78,1,-6,2015-11-13
North Florida,Illinois,93,81,0,12,2015-11-13
San Francisco,UIC,78,75,0,3,2015-11-13
Texas Lutheran,Incarnate Word,65,86,1,-21,2015-11-13
Eastern Illinois,Indiana,49,88,1,-39,2015-11-13
IUPUI,Indiana State,72,70,0,2,2015-11-13
Gardner-Webb,Iowa,59,76,1,-17,2015-11-13
Colorado,Iowa State,62,68,1,-6,2015-11-13
Northern Colorado,Kansas,72,109,1,-37,2015-11-13
Maryland-Eastern Shore,Kansas State,53,80,1,-27,2015-11-13
Albany (NY),Kentucky,65,78,1,-13,2015-11-13
Austin College,Lamar,58,101,1,-43,2015-11-13
Covenant,Liberty,62,64,1,-2,2015-11-13
Randolph,Longwood,49,69,1,-20,2015-11-13
Louisiana College,Louisiana,68,108,1,-40,2015-11-13
McMurry,Louisiana-Monroe,43,88,1,-45,2015-11-13
McNeese State,LSU,70,81,1,-11,2015-11-13
Millsaps,Louisiana Tech,33,95,1,-62,2015-11-13
Samford,Louisville,45,86,1,-41,2015-11-13
UTSA,Loyola (IL),64,76,1,-12,2015-11-13
Cal State Fullerton,Loyola Marymount,74,79,1,-5,2015-11-13
Tennessee State,Loyola (MD),86,71,0,15,2015-11-13
Holy Cross,Marist,67,64,0,3,2015-11-13
Belmont,Marquette,83,80,0,3,2015-11-13
Mount St. Mary's,Maryland,56,80,1,-24,2015-11-13
Allen,Mercer,70,96,1,-26,2015-11-13
Texas-Rio Grande Valley,Miami (FL),59,86,1,-27,2015-11-13
Northern Michigan,Michigan,44,70,1,-26,2015-11-13
Florida Atlantic,Michigan State,55,82,1,-27,2015-11-13
UMKC,Minnesota,58,76,1,-18,2015-11-13
Northwestern State,Ole Miss,76,90,1,-14,2015-11-13
Eastern Washington,Mississippi State,88,106,1,-18,2015-11-13
Wofford,Missouri,74,83,1,-9,2015-11-13
Boise State,Montana,72,74,1,-2,2015-11-13
Cincinnati Christian,Morehead State,51,87,1,-36,2015-11-13
