Road,Home,Road_score,Home_score,Home_w,margin,Date
Spring Arbor,Eastern Michigan,60,92,1,-32,2017-11-10
Savannah State,Cincinnati,77,107,1,-30,2017-11-10
Trevecca Nazarene,Middle Tennessee,52,104,1,-52,2017-11-10
Webber,Stetson,89,98,1,-9,2017-11-10
Central Arkansas,Baylor,66,107,1,-41,2017-11-10
Millsaps,Jackson State,46,84,1,-38,2017-11-10
Wheelock,New Hampshire,39,95,1,-56,2017-11-10
Lamar,Tulsa,74,67,0,7,2017-11-10
Oglethorpe,Citadel,73,109,1,-36,2017-11-10
Siena Heights,Central Michigan,48,108,1,-60,2017-11-10
Walla Walla,Eastern Washington,61,82,1,-21,2017-11-10
Campbell,Penn State,75,86,1,-11,2017-11-10
Bridgewater (VA),James Madison,50,80,1,-30,2017-11-10
Memphis,Alabama,70,82,1,-12,2017-11-10
Alabama State,Mississippi State,68,96,1,-28,2017-11-10
Eureka,North Texas,65,122,1,-57,2017-11-10
Holy Cross,Sacred Heart,69,64,0,5,2017-11-10
Fairleigh Dickinson,Seton Hall,68,90,1,-22,2017-11-10
Detroit,Virginia Tech,79,111,1,-32,2017-11-10
Texas A&M,West Virginia,88,65,0,23,2017-11-10
Iona,Albany (NY),67,69,1,-2,2017-11-10
Morgan State,Binghamton,59,76,1,-17,2017-11-10
Maine,Boston College,65,85,1,-20,2017-11-10
Northeastern,Boston University,65,59,0,6,2017-11-10
Kennesaw State,Butler,64,82,1,-18,2017-11-10
Methodist,Charlotte,76,116,1,-40,2017-11-10
Western Carolina,Clemson,57,85,1,-28,2017-11-10
Piedmont,Coastal Carolina,50,102,1,-52,2017-11-10
Siena,College of Charleston,60,68,1,-8,2017-11-10
Colgate,UConn,58,70,1,-12,2017-11-10
Charleston Southern,Davidson,62,110,1,-48,2017-11-10
Ball State,Dayton,77,78,1,-1,2017-11-10
Cairn,Delaware State,50,71,1,-21,2017-11-10
Bowling Green State,Drexel,78,69,0,9,2017-11-10
Elon,Duke,68,97,1,-29,2017-11-10
Florida Memorial,Florida International,47,70,1,-23,2017-11-10
Miami (OH),Fordham,55,54,0,1,2017-11-10
Bob Jones University,Furman,48,101,1,-53,2017-11-10
Lafayette,George Mason,65,67,1,-2,2017-11-10
Howard,George Washington,75,84,1,-9,2017-11-10
Bryant,Georgia,54,79,1,-25,2017-11-10
Carver Bible,Georgia State,50,90,1,-40,2017-11-10
MIT,Harvard,64,73,1,-9,2017-11-10
Army,Hofstra,74,77,1,-3,2017-11-10
Indiana State,Indiana,90,69,0,21,2017-11-10
Utah Valley,Kentucky,63,73,1,-10,2017-11-10
Clarks Summit,Liberty,42,87,1,-45,2017-11-10
