Road,Home,Road_score,Home_score,Home_w,margin,Date
Army,Air Force,68,79,1,-11,2013-11-08
Coastal Carolina,Akron,63,72,1,-9,2013-11-08
Oklahoma,Alabama,82,73,0,9,2013-11-08
Columbus State,Alabama-Birmingham,56,76,1,-20,2013-11-08
Cal Poly,Arizona,62,73,1,-11,2013-11-08
UMBC,Arizona State,61,96,1,-35,2013-11-08
SIU-Edwardsville,Arkansas,65,99,1,-34,2013-11-08
Nicholls State,Auburn,54,76,1,-22,2013-11-08
Oakland City,Austin Peay,69,84,1,-15,2013-11-08
Colorado,Baylor,60,72,1,-12,2013-11-08
Loyola (MD),Binghamton,79,74,0,5,2013-11-08
Texas-Arlington,Boise State,87,116,1,-29,2013-11-08
Jacksonville State,Bradley,65,72,1,-7,2013-11-08
Weber State,BYU,72,81,1,-9,2013-11-08
Hope International,Cal State Northridge,74,86,1,-12,2013-11-08
Coppin State,California,64,83,1,-19,2013-11-08
Fresno State,UC-Irvine,98,97,0,1,2013-11-08
Hawaii Pacific,UCSB,50,76,1,-26,2013-11-08
Shenandoah,Campbell,62,87,1,-25,2013-11-08
Tampa,UCF,72,97,1,-25,2013-11-08
Manchester,Central Michigan,49,101,1,-52,2013-11-08
Johnson University,Charleston Southern,51,130,1,-79,2013-11-08
ETSU,Charlotte,75,80,1,-5,2013-11-08
Covenant,Chattanooga,56,119,1,-63,2013-11-08
North Carolina Central,Cincinnati,61,74,1,-13,2013-11-08
Stetson,Clemson,51,71,1,-20,2013-11-08
Colorado-Colorado Springs,Colorado State,70,99,1,-29,2013-11-08
Maryland,UConn,77,78,1,-1,2013-11-08
Alcorn State,Creighton,61,107,1,-46,2013-11-08
Davidson,Duke,77,111,1,-34,2013-11-08
North Carolina Wesleyan,East Carolina,51,97,1,-46,2013-11-08
Florida International,Eastern Kentucky,61,83,1,-22,2013-11-08
Albion,Eastern Michigan,45,77,1,-32,2013-11-08
Washington & Lee,Elon,64,114,1,-50,2013-11-08
Caldwell,Fairleigh Dickinson,71,89,1,-18,2013-11-08
North Florida,Florida,69,77,1,-8,2013-11-08
Ave Maria,Florida Atlantic,51,86,1,-35,2013-11-08
