"Road","Home","Road_score","Home_score","Home_w","margin","Date"
"Southeastern Baptist","Southern Miss",66,111,1,-45,2018-11-06
"West Coast Baptist","Southern Utah",63,109,1,-46,2018-11-06
"Cumberland","UT-Martin",58,91,1,-33,2018-11-06
"Eastern Illinois","Texas",59,71,1,-12,2018-11-06
"Texas-Tyler","Texas-Arlington",66,90,1,-24,2018-11-06
"Texas A&M-Commerce","Texas-Rio Grande Valley",84,91,1,-7,2018-11-06
"Fort Valley State","Troy",60,95,1,-35,2018-11-06
"Alcorn State","Tulsa",56,73,1,-17,2018-11-06
"Concordia (IL)","Valparaiso",65,121,1,-56,2018-11-06
"Louisiana Tech","Wichita State",71,58,0,13,2018-11-06
"Coppin State","Wisconsin",63,85,1,-22,2018-11-06
"IUPUI","Xavier",69,82,1,-13,2018-11-06
"South Alabama","Auburn",58,101,1,-43,2018-11-06
"Texas Southern","Baylor",72,69,0,3,2018-11-06
"Maine","Denver",50,63,1,-13,2018-11-06
"Florida","Florida State",60,81,1,-21,2018-11-06
"Idaho State","Gonzaga",79,120,1,-41,2018-11-06
"Duke","Kentucky",118,84,0,34,2018-11-06
"UMKC","Loyola (IL)",45,76,1,-31,2018-11-06
"UMBC","Marquette",42,67,1,-25,2018-11-06
"Utah State","Montana State",101,71,0,30,2018-11-06
"North Dakota State","New Mexico State",56,73,1,-17,2018-11-06
"Centenary (LA)","Northwestern State",62,102,1,-40,2018-11-06
"UC-Riverside","Oregon State",59,72,1,-13,2018-11-06
"Texas-Permian Basin","UTEP",63,90,1,-27,2018-11-06
"Purdue-Fort Wayne","UCLA",71,96,1,-25,2018-11-06
"Westminster (MO)","Utah Valley",71,96,1,-25,2018-11-06
"Winthrop","Vanderbilt",79,92,1,-13,2018-11-06
"New Mexico","Cal State Northridge",87,84,0,3,2018-11-06
"San Francisco","UC-Davis",76,42,0,34,2018-11-06
"Idaho","UC-Irvine",68,86,1,-18,2018-11-06
"Alaska-Anchorage","Fresno State",63,91,1,-28,2018-11-06
"Multnomah","Portland",103,111,1,-8,2018-11-06
"Weber State","San Diego",66,83,1,-17,2018-11-06
"Arkansas-Pine Bluff","San Diego State",60,76,1,-16,2018-11-06
"Seattle","Stanford",74,96,1,-22,2018-11-06
"Western Kentucky","Washington",55,73,1,-18,2018-11-06
"UCSB","Wyoming",76,66,0,10,2018-11-06
"BYU","Nevada",70,86,1,-16,2018-11-06
"Portland State","Oregon",57,84,1,-27,2018-11-06
"Robert Morris","USC",62,83,1,-21,2018-11-06
"Ohio State","Cincinnati",64,56,0,8,2018-11-07
"North Florida","Dayton",70,78,1,-8,2018-11-07
"Bethune-Cookman","DePaul",58,80,1,-22,2018-11-07
"Marshall","Eastern Kentucky",105,77,0,28,2018-11-07
"Florida Tech","Florida Atlantic",52,98,1,-46,2018-11-07
"Webber","Florida International",84,110,1,-26,2018-11-07
"Carver Bible","Georgia Southern",51,139,1,-88,2018-11-07
"Washington Adventist","Howard",91,115,1,-24,2018-11-07
"Oglethorpe","Kennesaw State",57,68,1,-11,2018-11-07
"Wilberforce","Ohio",61,97,1,-36,2018-11-07
"Lafayette","St. Peter's",86,93,1,-7,2018-11-07
"Bucknell","St. Bonaventure",88,85,0,3,2018-11-07
"Medgar Evers","St. Francis (NY)",42,92,1,-50,2018-11-07
"Johnson University","Stetson",66,116,1,-50,2018-11-07
"High Point","William & Mary",69,79,1,-10,2018-11-07
"Western Carolina","Wright State",73,96,1,-23,2018-11-07
"Wisconsin-Parkside","Bradley",58,74,1,-16,2018-11-07
"York (NE)","South Dakota",58,83,1,-25,2018-11-07
"Howard Payne","Texas A&M-Corpus Christi",34,81,1,-47,2018-11-07
"St. Edward's","UTSA",77,76,0,1,2018-11-07
"Houston Baptist","Arizona",60,90,1,-30,2018-11-07
"Colorado Christian","Colorado State",66,100,1,-34,2018-11-07
"Savannah State","Texas A&M",83,98,1,-15,2018-11-07
"Cal State Bakersfield","TCU",61,66,1,-5,2018-11-07
"Menlo","Cal Poly",75,82,1,-7,2018-11-07
"Cal St Dominguez Hills","Pepperdine",66,100,1,-34,2018-11-07
"McNeese State","Saint Mary's",65,87,1,-22,2018-11-07
"Life Pacific","San Jose State",72,89,1,-17,2018-11-07
"SE Oklahoma St.","Little Rock",92,101,1,-9,2018-11-08
"Morehead State","UConn",70,80,1,-10,2018-11-08
"SUNY-Canton","Cornell",44,86,1,-42,2018-11-08
"Hiwassee","ETSU",44,109,1,-65,2018-11-08
"Southeastern","Florida Gulf Coast",54,81,1,-27,2018-11-08
"Siena","George Washington",69,61,0,8,2018-11-08
"Earlham","Purdue-Fort Wayne",51,112,1,-61,2018-11-08
"Maine-Fort Kent","Liberty",40,89,1,-49,2018-11-08
"Nicholls State","Louisville",72,85,1,-13,2018-11-08
"Mid-Atlantic Christian","Norfolk State",50,108,1,-58,2018-11-08
"St. Andrews","UNC Asheville",47,87,1,-40,2018-11-08
"Chicago State","Notre Dame",62,89,1,-27,2018-11-08
"SW Assembl. of God","Stephen F. Austin",67,68,1,-1,2018-11-08
"Hendrix","Central Arkansas",73,99,1,-26,2018-11-08
"Buena Vista","Drake",52,98,1,-46,2018-11-08
"Evansville","Illinois",60,99,1,-39,2018-11-08
"UMKC","Iowa",63,77,1,-14,2018-11-08
"New Orleans","Northwestern",52,82,1,-30,2018-11-08
"Southwestern","Sam Houston State",56,94,1,-38,2018-11-08
"Alabama State","South Dakota State",61,78,1,-17,2018-11-08
"Northwestern State","SMU",58,69,1,-11,2018-11-08
"Maine","Utah",61,75,1,-14,2018-11-08
"Puget Sound","Seattle",67,95,1,-28,2018-11-08
"Drexel","Eastern Michigan",62,66,1,-4,2018-11-09
"Milligan","Middle Tennessee",70,102,1,-32,2018-11-09
"Buena Vista","Omaha",58,94,1,-36,2018-11-09
"Antelope Valley","Cal State Bakersfield",75,111,1,-36,2018-11-09
"Indiana State","Green Bay",78,74,0,4,2018-11-09
"Wichita State","Providence",83,80,0,3,2018-11-09
"Bowling Green State","St. John's (NY)",80,84,1,-4,2018-11-09
"Vermont","Boston University",78,72,0,6,2018-11-09
"Coastal Carolina","Campbell",85,75,0,10,2018-11-09
"Chicago State","Central Michigan",60,101,1,-41,2018-11-09
"North Carolina Central","Clemson",51,71,1,-20,2018-11-09
"Monmouth","Colgate",74,87,1,-13,2018-11-09
"Dartmouth","Davidson",76,79,1,-3,2018-11-09
"James Madison","East Carolina",73,72,0,1,2018-11-09
"UNC","Elon",116,67,0,49,2018-11-09
"Charleston Southern","Florida",46,76,1,-30,2018-11-09
"Johnson & Wales (FL)","Florida International",47,117,1,-70,2018-11-09
"American","George Mason",78,75,0,3,2018-11-09
"Lamar","Georgia Tech",69,88,1,-19,2018-11-09
"Northeastern","Harvard",81,71,0,10,2018-11-09
"Mount St. Mary's","Hofstra",61,79,1,-18,2018-11-09
"Missouri","Iowa State",59,76,1,-17,2018-11-09
"Southern Illinois","Kentucky",59,71,1,-12,2018-11-09
"Brown","LIU-Brooklyn",81,83,1,-2,2018-11-09
"New Hampshire","UMass",75,104,1,-29,2018-11-09
"Piedmont","Mercer",52,105,1,-53,2018-11-09
"Lehigh","Miami (FL)",62,83,1,-21,2018-11-09
"Austin Peay","Mississippi State",67,95,1,-28,2018-11-09
"Stanford","UNC Wilmington",72,59,0,13,2018-11-09
"Northern Kentucky","Northern Illinois",88,85,0,3,2018-11-09
"Toledo","Oakland",87,86,0,1,2018-11-09
"North Florida","Penn State",72,87,1,-15,2018-11-09
"VMI","Pitt",55,94,1,-39,2018-11-09
"DeSales","Princeton",51,85,1,-34,2018-11-09
"Longwood","Richmond",63,58,0,5,2018-11-09
"Fairleigh Dickinson","Rutgers",55,90,1,-35,2018-11-09
"Morgan State","Saint Francis (PA)",60,80,1,-20,2018-11-09
"Old Dominion","St. Joseph's",64,79,1,-15,2018-11-09
"Jacksonville State","Samford",72,92,1,-20,2018-11-09
"Stony Brook","South Carolina",83,81,0,2,2018-11-09
"Detroit","Temple",67,83,1,-16,2018-11-09
"Louisiana","Tennessee",65,87,1,-22,2018-11-09
